x y
2.547041862219475937e+10 1.478070159204519653e+11
7.592592731978305817e+09 1.498473878198137817e+11
-1.039438632085653305e+10 1.497335132228836365e+11
-2.823209483358048630e+10 1.474693623420489197e+11
-4.566480515522972870e+10 1.430897175405706482e+11
-6.244312236198887634e+10 1.366595455190196228e+11
-7.832750080828305054e+10 1.282729488328149719e+11
-9.309159405017776489e+10 1.180517182668211365e+11
-1.065253954160171509e+11 1.061435121648828125e+11
-1.184381305709231720e+11 9.271969272742692566e+10
-1.286608676757154999e+11 7.797285257729051208e+10
-1.370488150846746521e+11 6.211406759848934174e+10
-1.434832808889068298e+11 4.536991423198304749e+10
-1.478732729429406738e+11 2.797929112962051010e+10
-1.501567222825190430e+11 1.019008638561490250e+10
-1.503013170413348083e+11 -7.744267457364986420e+09
-1.483049381099992065e+11 -2.556830774353716278e+10
-1.441956918709042664e+11 -4.302808206369018555e+10
-1.380315394156194153e+11 -5.987467112042655945e+10
-1.298995257390323029e+11 -7.586765060405415344e+10
-1.199146165381543121e+11 -9.077844884457905579e+10
-1.082181544498274994e+11 -1.043935575292888336e+11
-9.497595085741378784e+10 -1.165175536049112091e+11
-8.037603378524578857e+10 -1.269758916720669861e+11
-6.462607686742717743e+10 -1.356174277898996887e+11
-4.795053889100415039e+10 -1.423166377065538330e+11
-3.058754791768632507e+10 -1.469754951816691589e+11
-1.278556840636553574e+10 -1.495249793286022949e+11
5.200106007201690674e+09 -1.499261838223998413e+11
2.311098748362729263e+10 -1.481710054218905640e+11
4.068910661467023468e+10 -1.442823945440011902e+11
5.768074970004738617e+10 -1.383141565803490601e+11
7.384016543620184326e+10 -1.303502992031243134e+11
8.893318443368077087e+10 -1.205039279781253204e+11
1.027406946106202240e+11 -1.089157000624885406e+11
1.150619162302420959e+11 -9.575185345623822021e+10
1.257174222361621704e+11 -8.120183701579370117e+10
1.345518526299266052e+11 -6.547557401841679382e+10
1.414362759274919128e+11 -4.880039927090003204e+10
1.462701561765234070e+11 -3.141771636230923843e+10
1.489828905188349609e+11 -1.357942745586899567e+10
1.495348897014913330e+11 4.455807195479949951e+09
1.479181820951194458e+11 2.242641920702404022e+10
1.441565304547264709e+11 4.007182837060702515e+10
1.383050596189176941e+11 5.713632124923126221e+10
1.304494023372029114e+11 7.337284846317076111e+10
1.207043791905318604e+11 8.854667893172709656e+10
1.092122368867723083e+11 1.024388525118122253e+11
9.614047685213331604e+10 1.148493768521114807e+11
8.167931281484063721e+10 1.256001197026014862e+11
6.603880184113759613e+10 1.345373541960877380e+11
4.944569793236509705e+10 1.415339215433342590e+11
3.214008076802782822e+10 1.464909829390290222e+11
1.437181447139710236e+10 1.493393400463084106e+11
-3.603107588359519958e+09 1.500403110080590515e+11
-2.152627589298345947e+10 1.485861563385269470e+11
-3.914058064524208069e+10 1.450000561198817444e+11
-5.619387709547483063e+10 1.393356465369793396e+11
-7.244254955273674011e+10 1.316761298343230438e+11
-8.765492645087951660e+10 1.221329772100739288e+11
-1.016145024419370880e+11 1.108442489424576111e+11
-1.141229274223241119e+11 9.797256017201567078e+10
-1.250027265467539368e+11 8.370272426081562805e+10
-1.340997195533962708e+11 6.823910855768562317e+10
-1.412851120348808289e+11 5.180273977058493042e+10
-1.464572355879037476e+11 3.462819804447312164e+10
-1.495429180250489502e+11 1.696034032834741974e+10
-1.504984690212058411e+11 -9.491052520542945862e+08
-1.493102706959353943e+11 -1.884503146742002487e+10
-1.459949667183612061e+11 -3.647248738422322083e+10
-1.405992475885190430e+11 -5.358021363430841064e+10
-1.331992338299151917e+11 -6.992413398758367920e+10
-1.238994629544812622e+11 -8.527075978171218872e+10
-1.128314902614896851e+11 -9.940046413941818237e+10
-1.001521178262536011e+11 -1.121105835752017975e+11
-8.604127042993911743e+10 -1.232183056104811249e+11
-7.069954166967707825e+10 -1.325633024405737915e+11
-5.434543804029486084e+10 -1.400100725949484863e+11
-3.721235334613780212e+10 -1.454499549706590576e+11
-1.954531031231850052e+10 -1.488027826595114136e+11
-1.597510626445053101e+09 -1.500181476829848938e+11
1.637326125812402344e+10 -1.490762521289855957e+11
3.410833151701557159e+10 -1.459883262623458862e+11
5.135187532844766235e+10 -1.407965999403105164e+11
6.785464550410231018e+10 -1.335738200574111633e+11
8.337763497240373230e+10 -1.244223136897229309e+11
9.769561597787940979e+10 -1.134726039907684937e+11
1.106004991941462250e+11 -1.008815935616826782e+11
1.219044574334046936e+11 -8.683033779889541626e+10
1.314427613233798523e+11 -7.152143841246861267e+10
1.390762782236283875e+11 -5.517609469085747528e+10
1.446935907320772705e+11 -3.803085694088313293e+10
1.482126973077145081e+11 -2.033413263743022537e+10
1.495822646787744141e+11 -2.342500973884643555e+09
1.487824096477330933e+11 1.568310446389548492e+10
1.458249964395850525e+11 3.348128240968505096e+10
1.407534446361357422e+11 5.079405611689592743e+10
1.336420517482828979e+11 6.737070714676422119e+10
1.245948433479897156e+11 8.297148824443164062e+10
1.137439721670212860e+11 9.737115554651654053e+10
1.012476954447096863e+11 1.103622643478664093e+11
8.728796687532771301e+10 1.217581777336825714e+11
7.206768560756129456e+10 1.313957433771142273e+11
5.580764976733027649e+10 1.391376005094846191e+11
3.874326583972539520e+10 1.448740862757756348e+11
2.112106793077018356e+10 1.485247181753768311e+11
3.195102453015541077e+09 1.500392368493287354e+11
-1.477676580288325882e+10 1.493982009195422058e+11
-3.253657084690875244e+10 1.466131327463191223e+11
-4.982993205709072876e+10 1.417262207109455261e+11
-6.640965855037442017e+10 1.348095898455674744e+11
-8.203922268543112183e+10 1.259641582515708008e+11
-9.649605743951058960e+10 1.153181017309082031e+11
-1.095746361843507233e+11 1.030249533921749115e+11
-1.210892974201599579e+11 8.926136869984936523e+10
-1.308767812102844849e+11 7.422458954629591370e+10
-1.387984483104945374e+11 5.812964349180825806e+10
