x y
2.547041862219432068e+10 1.478070159204520264e+11
7.592592731977859497e+09 1.498473878198137512e+11
-1.039438632085698318e+10 1.497335132228835449e+11
-2.823209483358093262e+10 1.474693623420487366e+11
-4.566480515523016357e+10 1.430897175405704041e+11
-6.244312236198929596e+10 1.366595455190193176e+11
-7.832750080828344727e+10 1.282729488328146057e+11
-9.309159405017813110e+10 1.180517182668206940e+11
-1.065253954160174713e+11 1.061435121648823090e+11
-1.184381305709234467e+11 9.271969272742636108e+10
-1.286608676757157288e+11 7.797285257728988647e+10
-1.370488150846748199e+11 6.211406759848866272e+10
-1.434832808889069214e+11 4.536991423198231506e+10
-1.478732729429407043e+11 2.797929112961973953e+10
-1.501567222825189819e+11 1.019008638561410141e+10
-1.503013170413346558e+11 -7.744267457365810394e+09
-1.483049381099989624e+11 -2.556830774353798676e+10
-1.441956918709039307e+11 -4.302808206369099426e+10
-1.380315394156190186e+11 -5.987467112042735291e+10
-1.298995257390318298e+11 -7.586765060405491638e+10
-1.199146165381537628e+11 -9.077844884457977295e+10
-1.082181544498268890e+11 -1.043935575292894897e+11
-9.497595085741313171e+10 -1.165175536049118042e+11
-8.037603378524508667e+10 -1.269758916720675049e+11
-6.462607686742644501e+10 -1.356174277899001312e+11
-4.795053889100340271e+10 -1.423166377065541687e+11
-3.058754791768556976e+10 -1.469754951816694031e+11
-1.278556840636478424e+10 -1.495249793286024475e+11
5.200106007202426910e+09 -1.499261838223999023e+11
2.311098748362800598e+10 -1.481710054218905334e+11
4.068910661467091370e+10 -1.442823945440010986e+11
5.768074970004803467e+10 -1.383141565803489075e+11
7.384016543620243835e+10 -1.303502992031240997e+11
8.893318443368130493e+10 -1.205039279781250610e+11
1.027406946106207123e+11 -1.089157000624882355e+11
1.150619162302425232e+11 -9.575185345623786926e+10
1.257174222361625366e+11 -8.120183701579330444e+10
1.345518526299269104e+11 -6.547557401841637421e+10
1.414362759274921570e+11 -4.880039927089959717e+10
1.462701561765235901e+11 -3.141771636230879593e+10
1.489828905188350830e+11 -1.357942745586855316e+10
1.495348897014913940e+11 4.455807195480384827e+09
1.479181820951194458e+11 2.242641920702445984e+10
1.441565304547264099e+11 4.007182837060742188e+10
1.383050596189175720e+11 5.713632124923163605e+10
1.304494023372027435e+11 7.337284846317111206e+10
1.207043791905316467e+11 8.854667893172741699e+10
1.092122368867720490e+11 1.024388525118125153e+11
9.614047685213302612e+10 1.148493768521117249e+11
8.167931281484031677e+10 1.256001197026016693e+11
6.603880184113724518e+10 1.345373541960878601e+11
4.944569793236471558e+10 1.415339215433343201e+11
3.214008076802742767e+10 1.464909829390290222e+11
1.437181447139668655e+10 1.493393400463083496e+11
-3.603107588359947205e+09 1.500403110080588989e+11
-2.152627589298388672e+10 1.485861563385267334e+11
-3.914058064524249268e+10 1.450000561198814697e+11
-5.619387709547522736e+10 1.393356465369790039e+11
-7.244254955273712158e+10 1.316761298343226318e+11
-8.765492645087986755e+10 1.221329772100734253e+11
-1.016145024419373932e+11 1.108442489424570312e+11
-1.141229274223243713e+11 9.797256017201501465e+10
-1.250027265467541351e+11 8.370272426081489563e+10
-1.340997195533963928e+11 6.823910855768481445e+10
-1.412851120348808594e+11 5.180273977058406067e+10
-1.464572355879036865e+11 3.462819804447219849e+10
-1.495429180250487671e+11 1.696034032834645081e+10
-1.504984690212055359e+11 -9.491052520553016663e+08
-1.493102706959349365e+11 -1.884503146742105865e+10
-1.459949667183606262e+11 -3.647248738422425842e+10
-1.405992475885183411e+11 -5.358021363430944061e+10
-1.331992338299143524e+11 -6.992413398758468628e+10
-1.238994629544802856e+11 -8.527075978171313477e+10
-1.128314902614885864e+11 -9.940046413941906738e+10
-1.001521178262523804e+11 -1.121105835752025909e+11
-8.604127042993778992e+10 -1.232183056104818115e+11
-7.069954166967565918e+10 -1.325633024405743408e+11
-5.434543804029335022e+10 -1.400100725949488831e+11
-3.721235334613623047e+10 -1.454499549706593018e+11
-1.954531031231688309e+10 -1.488027826595115051e+11
-1.597510626443412781e+09 -1.500181476829848328e+11
1.637326125812565994e+10 -1.490762521289853516e+11
3.410833151701718521e+10 -1.459883262623454590e+11
5.135187532844921875e+10 -1.407965999403099060e+11
6.785464550410379028e+10 -1.335738200574104004e+11
8.337763497240512085e+10 -1.244223136897220306e+11
9.769561597788069153e+10 -1.134726039907674561e+11
1.106004991941473694e+11 -1.008815935616815186e+11
1.219044574334057007e+11 -8.683033779889416504e+10
1.314427613233807068e+11 -7.152143841246728516e+10
1.390762782236290894e+11 -5.517609469085609436e+10
1.446935907320778198e+11 -3.803085694088172150e+10
1.482126973077149048e+11 -2.033413263742879868e+10
1.495822646787746582e+11 -2.342500973883228302e+09
1.487824096477331543e+11 1.568310446389686966e+10
1.458249964395849609e+11 3.348128240968638611e+10
1.407534446361355286e+11 5.079405611689720154e+10
1.336420517482825623e+11 6.737070714676541138e+10
1.245948433479892578e+11 8.297148824443273926e+10
1.137439721670207367e+11 9.737115554651753235e+10
1.012476954447090454e+11 1.103622643478672791e+11
8.728796687532699585e+10 1.217581777336833191e+11
7.206768560756051636e+10 1.313957433771148529e+11
5.580764976732945251e+10 1.391376005094851379e+11
3.874326583972454834e+10 1.448740862757760010e+11
2.112106793076932144e+10 1.485247181753770752e+11
3.195102453014671326e+09 1.500392368493288574e+11
-1.477676580288412476e+10 1.493982009195422058e+11
-3.253657084690959930e+10 1.466131327463190002e+11
-4.982993205709155273e+10 1.417262207109453125e+11
-6.640965855037521362e+10 1.348095898455671539e+11
-8.203922268543188477e+10 1.259641582515703735e+11
-9.649605743951129150e+10 1.153181017309076843e+11
-1.095746361843513641e+11 1.030249533921743164e+11
-1.210892974201605377e+11 8.926136869984870911e+10
-1.308767812102849884e+11 7.422458954629519653e+10
-1.387984483104949646e+11 5.812964349180749512e+10
-1.447421572450494385e+11 4.120631639696366119e+10
-1.486237788071374817e+11 2.369593832591959000e+10
-1.503883316342405701e+11 5.848023889035743713e+09
-1.500107266274830322e+11 -1.208319082819811249e+10
-1.474961120608988037e+11 -2.984227189276863861e+10
-1.428798152854241943e+11 -4.717612838000247192e+10
-1.362268810036724091e+11 -6.383752688380648804e+10
-1.276312102075964355e+11 -7.958853609037643433e+10
-1.172143080618615570e+11 -9.420385805582809448e+10
-1.051236533038049927e+11 -1.074740033434589233e+11
-9.153070612742416382e+10 -1.192082680246269226e+11
-7.662857601970086670e+10 -1.292374717882545929e+11
-6.062937559997964478e+10 -1.374164181040587463e+11
-4.376129113346969604e+10 -1.436260396119473877e+11
-2.626540498257104874e+10 -1.477751947292204285e+11
