x y
2.096492858325889969e+10 1.480449279829662476e+11
3.012259358493930817e+09 1.494808585630577698e+11
-1.498411247657759476e+10 1.487475747961408386e+11
-3.276298281998997879e+10 1.458552513718812866e+11
-5.006619355577150726e+10 1.408454176969913635e+11
-6.664238748445298004e+10 1.337903809480227509e+11
-8.225067046370108032e+10 1.247921997098937378e+11
-9.666412678615008545e+10 1.139812217610831146e+11
-1.096731356553425293e+11 1.015142061269523468e+11
-1.210884392757693176e+11 8.757205585562771606e+10
-1.307439165245289764e+11 7.235719396711515808e+10
-1.384990203792240601e+11 5.609062057868568420e+10
-1.442408421824280396e+11 3.900869421566902924e+10
-1.478857713549129944e+11 2.135968468176139069e+10
-1.493807252409257812e+11 3.400148502147853851e+09
-1.487039302794343262e+11 -1.460881920575196838e+10
-1.458652425350617065e+11 -3.240540059227493668e+10
-1.409060026728613281e+11 -4.973088173273009491e+10
-1.338984275983767853e+11 -6.633343297371192932e+10
-1.249445480825934448e+11 -8.197178660661856079e+10
-1.141747086254281006e+11 -9.641875715834010315e+10
-1.017456524604330902e+11 -1.094645521130049286e+11
-8.783822085360197449e+10 -1.209198242238415833e+11
-7.265470159650024414e+10 -1.306184206741503601e+11
-5.641586674639567566e+10 -1.384197891209888306e+11
-3.935774414548761749e+10 -1.442110060131541748e+11
-2.172817099476517105e+10 -1.479083984165117493e+11
-3.783180718425655365e+09 -1.494587367989790344e+11
1.421672349873091888e+10 -1.488399827157741394e+11
3.201035380098368073e+10 -1.460615819837109375e+11
4.933962618986446381e+10 -1.411643006342261047e+11
6.595329762848648071e+10 -1.342196075854674683e+11
8.161059797430671692e+10 -1.253286144771163940e+11
9.608470485820385742e+10 -1.146205893779511108e+11
1.091660121978604279e+11 -1.022510670240961761e+11
1.206651462542257233e+11 -8.839958380297746277e+10
1.304156869518444977e+11 -7.326707080088145447e+10
1.382765565235162964e+11 -5.707294282642533875e+10
1.441340423408218079e+11 -4.005192536260437775e+10
1.479034259866142883e+11 -2.245066484898693848e+10
1.495301961449588318e+11 -4.524170523184001923e+09
1.489908286593739929e+11 1.346786176613319778e+10
1.462931230729251099e+11 3.126479184054909897e+10
1.414760910453963013e+11 4.860879078418484497e+10
1.346093981753658295e+11 6.524855689303816223e+10
1.257923668706217957e+11 8.094293953684593201e+10
1.151525539410247345e+11 9.546441967453593445e+10
1.028439224654875183e+11 1.086023976174738770e+11
8.904463314072305298e+10 1.201662411413341522e+11
7.395448568507113647e+10 1.299880501876121216e+11
5.779204587729393768e+10 1.379250981431591187e+11
4.079149838940063477e+10 1.438619140071050720e+11
2.319926965716092682e+10 1.477119746077475281e+11
5.270468556968219757e+09 1.494189813675998230e+11
-1.273480443853570557e+10 1.489577018740845947e+11
-3.055522672798593903e+10 1.463343626284889526e+11
-4.793204727664257050e+10 1.415865857398585815e+11
-6.461284941759823608e+10 1.347828689179309082e+11
-8.035522771303851318e+10 1.260216148065450439e+11
-9.493032472920457458e+10 1.154297223860751343e+11
-1.081261753087239380e+11 1.031607597550662231e+11
-1.197508084772632294e+11 8.939274396901406860e+10
-1.296350604752141724e+11 7.432555965887690735e+10
-1.376350565204959412e+11 5.817805376588645935e+10
-1.436343237305848083e+11 4.118484880939432526e+10
-1.475455030899861755e+11 2.359292155488324356e+10
-1.493116343583667603e+11 5.657997683820606232e+09
-1.489069942762602539e+11 -1.235918398790766907e+10
-1.463374752304696045e+11 -3.019668209964195251e+10
-1.416404985723595581e+11 -4.759518129464861298e+10
-1.348844639158634033e+11 -6.430178158869286346e+10
-1.261677428523334808e+11 -8.007369205062796021e+10
-1.156172324810433044e+11 -9.468177382706958008e+10
-1.033864908456258087e+11 -1.079138799604426117e+11
-8.965348267314884949e+10 -1.195779426954633942e+11
-7.461796962846664429e+10 -1.295047629788307190e+11
-5.849858452830737305e+10 -1.375504615520253296e+11
-4.152963352729482269e+10 -1.435985563276151428e+11
-2.395767412682863998e+10 -1.475616365263687439e+11
-6.037919918404590607e+09 -1.493826102306691589e+11
1.196947477736375427e+10 -1.490355084706646729e+11
2.980319579304937363e+10 -1.465258355940359802e+11
4.720456034310481262e+10 -1.418904623706667480e+11
6.392126364945218658e+10 -1.351970649462567444e+11
7.971102703229473877e+10 -1.265431192861339722e+11
9.434509530854478455e+10 -1.160544670515061951e+11
1.076115338251422882e+11 -1.038834748426690369e+11
1.193182785972227173e+11 -9.020681435364439392e+10
1.292958967627341919e+11 -7.522289614587977600e+10
1.374000188425805664e+11 -5.914899440959435272e+10
1.435134090426676025e+11 -4.221810419346963501e+10
1.475476449835976562e+11 -2.467557610825109482e+10
1.494443837265787659e+11 -6.775576416656379700e+09
1.491761967115386963e+11 1.122257731310470200e+10
1.467469621667651672e+11 2.905815320753445053e+10
1.421918096202355042e+11 4.647276202526902771e+10
1.355766172730617371e+11 6.321408105963065338e+10
1.269970691172346649e+11 7.903949245870713806e+10
1.165772847251621246e+11 9.371958451683972168e+10
1.044680405392254944e+11 1.070414662618288727e+11
9.084460717728469849e+10 1.188118480881777496e+11
7.590423267603056335e+10 1.288598442491314545e+11
5.986330664953027344e+10 1.370394566935865631e+11
4.295424497682262421e+10 1.432317039855166016e+11
2.542213878263412857e+10 1.473463638330064392e+11
7.521215073846652985e+09 1.493233030325628357e+11
-1.048884062089798355e+10 1.491333743444754944e+11
-2.834664694763694000e+10 1.467788658899395752e+11
-4.579292050790242767e+10 1.422934950246280212e+11
-6.257424564727589417e+10 1.357419452118944092e+11
-7.844676514947776794e+10 1.272189510992737732e+11
-9.317973752969216919e+10 1.168479436950388641e+11
-1.065589082471890411e+11 1.047792741425514832e+11
-1.183896446087202606e+11 9.118804099089654541e+10
-1.284997873898070984e+11 7.627155195152288818e+10
-1.367421762240682526e+11 6.024645680442578125e+10
-1.429968105481978760e+11 4.334559326994006348e+10
-1.471726132734169617e+11 2.581459219645243073e+10
-1.492087702997590027e+11 7.908292242831512451e+09
-1.490756254007261963e+11 -1.011298271821440887e+10
-1.467751167747266235e+11 -2.798722804422843933e+10
-1.423407485695262146e+11 -4.545458786411784363e+10
-1.358370978139573364e+11 -6.226115256056363678e+10
-1.273588643115770874e+11 -7.816266755452235413e+10
-1.170294780383068848e+11 -9.292809818041757202e+10
-1.049992853180957336e+11 -1.063429977506528320e+11
-9.144334141147044373e+10 -1.182126290537127228e+11
-7.655884303472625732e+10 -1.283647934486117096e+11
-6.056223963724028015e+10 -1.366523263328948822e+11
-4.368606691918972778e+10 -1.429552229830397034e+11
-2.617555000495962143e+10 -1.471823644969517517e+11
-8.285026847657135010e+09 -1.492728197037754822e+11
9.725755207513519287e+09 -1.491967053381950073e+11
2.759541524767341232e+10 -1.469555933954652100e+11
4.506473185593321228e+10 -1.425824612817077942e+11
6.188039839026148224e+10 -1.361411870473052216e+11
7.779868637422662354e+10 -1.277255985408367920e+11
9.258896457835044861e+10 -1.174580916552565918e+11
1.060370237698597870e+11 -1.054878388733619690e+11
1.179481601724907684e+11 -9.198861498129646301e+10
1.281499743484752808e+11 -7.715627204124224854e+10
1.364948464292469025e+11 -6.120590044105908203e+10
1.428620533140199890e+11 -4.436871702170365906e+10
1.471594985586208801e+11 -2.688872488341699982e+10
1.493250311222308655e+11 -9.019192457189273834e+09
1.493273348581860352e+11 8.980998225806640625e+09
1.471663765579306641e+11 2.685108244565560150e+10
1.428734064162008362e+11 4.433217024675164795e+10
1.365105109123919373e+11 6.117097745282880402e+10
1.281697242298958893e+11 7.712347760411680603e+10
1.179717103940498810e+11 9.195842319423310852e+10
1.060640342321071930e+11 1.054606862721546173e+11
9.261904497692076111e+10 1.174343708199305573e+11
7.783140178112812805e+10 1.277056523012981415e+11
6.191527551174803925e+10 1.361253033753256073e+11
4.510126588774679565e+10 1.425708689509264832e+11
2.763307723776796341e+10 1.469484584831849365e+11
9.763999826171138763e+09 1.491941286332261658e+11
-8.246753239831043243e+09 1.492748350733820496e+11
-2.613780110899340820e+10 1.471889382530764771e+11
-4.364938819434487152e+10 1.429662542735139465e+11
-6.052716007199046326e+10 1.366676485674292145e+11
-7.652586712475382996e+10 1.283841767522609100e+11
-9.141294147777510071e+10 1.182357837225382538e+11
-1.049718942960852051e+11 1.063695786658634033e+11
-1.170054828636701508e+11 9.295771011881437683e+10
-1.273386000207551727e+11 7.819487131511215210e+10
-1.358208424661547394e+11 6.229547181025712585e+10
-1.423287190835857239e+11 4.549051659003199768e+10
-1.467674657580669250e+11 2.802423848676426315e+10
-1.490724390292644653e+11 1.015053364824628448e+10
-1.492100672877517090e+11 -7.870747047252960205e+09
-1.471783449509688110e+11 -2.577759542321362686e+10
-1.430068620423874207e+11 -4.330967564645700073e+10
-1.367563687178264313e+11 -6.021212892023306274e+10
-1.285178814114778900e+11 -7.623929647279251099e+10
-1.184113442852283630e+11 -9.115830540095790100e+10
-1.065838664354912109e+11 -1.047524641306189117e+11
-9.320756172518321228e+10 -1.168244173008603821e+11
-7.847702405665942383e+10 -1.271990137047532959e+11
-6.260647628757550049e+10 -1.357258454524333191e+11
-4.582663573223613739e+10 -1.422814216735418091e+11
-2.838134321722093964e+10 -1.467709457494080811e+11
-1.052400591888021851e+10 -1.491296711566466675e+11
7.486093335280208588e+09 -1.493238174051833801e+11
2.538756599017192078e+10 -1.473510341557735596e+11
4.292071180214733887e+10 -1.432404082966426086e+11
5.983128190745596313e+10 -1.370520154411618500e+11
7.587415665742976379e+10 -1.288760238789945526e+11
9.081688554731396484e+10 -1.188313653792886353e+11
1.044430388782931519e+11 -1.070639933216407318e+11
1.165553237766195068e+11 -9.374475434283468628e+10
1.269784207922738342e+11 -7.906690496799163818e+10
1.355615014500767822e+11 -6.324330948610394287e+10
1.421803917631966858e+11 -4.650335958317012787e+10
1.467393517751439819e+11 -2.908965992089759445e+10
1.491724466031165771e+11 -1.125452691256317902e+10
1.494444901441202698e+11 6.743649625423061371e+09
1.475515485068576660e+11 2.464413049654876328e+10
1.435209962784754944e+11 4.218758427009220123e+10
1.374111248577102051e+11 5.911982457325135803e+10
